scenarioId,runId,totalNodes,dist,flowId,srcIP,dstIP,txPkts,rxPkts,delay_ms,throughput_mbps,loss_pct
50_unbalanced,1,50,unbalanced,1,10.1.0.13,10.2.0.14,34790,34790,21.3373,5.1349,0.0000
50_unbalanced,1,50,unbalanced,2,10.1.0.22,10.3.0.34,34790,34790,27.5902,5.1344,0.0000
50_unbalanced,1,50,unbalanced,3,10.1.0.58,10.2.0.26,34790,34790,27.5902,5.1344,0.0000
50_unbalanced,1,50,unbalanced,4,10.1.0.37,10.3.0.38,34790,34790,27.5902,5.1344,0.0000
50_unbalanced,1,50,unbalanced,5,10.2.0.74,10.1.0.18,20184,19531,11.2614,2.8833,3.2352
50_unbalanced,1,50,unbalanced,6,10.2.0.22,10.3.0.26,34790,34790,23.5059,5.1347,0.0000
50_unbalanced,1,50,unbalanced,7,10.2.0.94,10.3.0.22,34790,34790,25.5902,5.1346,0.0000
50_unbalanced,1,50,unbalanced,8,10.3.0.46,10.1.0.22,34790,34790,21.6830,5.1349,0.0000
50_unbalanced,1,50,unbalanced,9,10.3.0.125,10.2.0.62,34790,34790,27.5902,5.1344,0.0000
