scenarioId,runId,totalNodes,dist,flowId,srcIP,dstIP,txPkts,rxPkts,delay_ms,throughput_mbps,loss_pct
20_balanced,1,20,balanced,1,10.1.0.13,10.2.0.14,34790,34790,21.3373,5.1349,0.0000
20_balanced,1,20,balanced,2,10.1.0.38,10.3.0.14,34790,34790,11.2614,5.1359,0.0000
20_balanced,1,20,balanced,3,10.2.0.45,10.3.0.14,34790,34790,21.3373,5.1349,0.0000
20_balanced,1,20,balanced,4,10.2.0.25,10.1.0.13,20184,19530,11.2614,2.8831,3.2402
20_balanced,1,20,balanced,5,10.3.0.26,10.1.0.18,34790,34790,9.1771,5.1360,0.0000
20_balanced,1,20,balanced,6,10.3.0.26,10.2.0.14,34790,34790,11.3457,5.1358,0.0000
20_balanced,1,20,balanced,7,10.2.0.45,10.1.0.13,14606,14606,11.3457,5.1346,0.0000
