scenarioId,runId,totalNodes,dist,flowId,srcIP,dstIP,txPkts,rxPkts,delay_ms,throughput_mbps,loss_pct
50_balanced,1,50,balanced,1,10.1.0.13,10.2.0.14,34790,34790,21.3373,5.1349,0.0000
50_balanced,1,50,balanced,2,10.1.0.86,10.2.0.30,34790,34790,29.6746,5.1342,0.0000
50_balanced,1,50,balanced,3,10.1.0.90,10.3.0.38,34790,34790,31.7589,5.1340,0.0000
50_balanced,1,50,balanced,4,10.1.0.101,10.3.0.58,34790,34790,25.5902,5.1346,0.0000
50_balanced,1,50,balanced,5,10.2.0.74,10.1.0.18,34790,34790,21.3373,5.1349,0.0000
50_balanced,1,50,balanced,6,10.2.0.22,10.3.0.26,34790,34790,23.4216,5.1348,0.0000
50_balanced,1,50,balanced,7,10.2.0.38,10.3.0.46,34790,34790,29.6746,5.1342,0.0000
50_balanced,1,50,balanced,8,10.3.0.49,10.1.0.50,34790,34790,19.5987,5.1351,0.0000
50_balanced,1,50,balanced,9,10.3.0.101,10.2.0.62,34790,34790,19.2530,5.1351,0.0000
